customer_id,company_name,signup_date,acquisition_channel,region,company_size_band,plan_type_at_signup,churn_date
27,Hernandez and Sons,2024-12-01,Content Marketing,Africa,201-500,Starter,
28,"Hall, Washington and Lawrence",2024-05-13,Outbound Sales,Asia Pacific,201-500,Starter,2025-05-28
29,Thomas PLC,2024-08-19,Outbound Sales,Europe,500+,Starter,
30,"Flores, Martinez and Villarreal",2024-11-21,Paid Ads,Latin America,1-10,Growth,2025-03-24
31,"Lowe, Brown and Lam",2026-04-18,Referral,Latin America,51-200,Scale,
32,"Yates, Long and Ross",2025-11-18,Content Marketing,Latin America,51-200,Growth,
33,"Morales, Lee and Rollins",2024-04-01,Paid Ads,Europe,201-500,Growth,2025-10-13
34,Peterson Inc,2025-01-23,Partner,North America,1-10,Growth,
35,"Hernandez, Garcia and Cox",2024-03-31,Content Marketing,Africa,201-500,Growth,
36,Mendez and Sons,2024-01-23,Referral,North America,11-50,Starter,
37,Guzman-Wells,2025-07-13,Outbound Sales,Latin America,500+,Growth,
38,Kaiser-Owens,2024-04-11,Partner,North America,1-10,Scale,
39,Thomas Ltd,2025-03-02,Outbound Sales,Europe,201-500,Growth,2026-05-16
40,Mendoza-Holt,2024-10-29,Partner,Asia Pacific,201-500,Starter,
41,Tapia PLC,2025-03-31,Paid Ads,Europe,1-10,Starter,
42,"Daniels, Johnson and Rice",2024-11-15,Paid Ads,Latin America,500+,Scale,
43,Horton LLC,2026-05-13,Content Marketing,Latin America,11-50,Starter,
44,Kelly and Sons,2025-04-02,Organic Search,Latin America,11-50,Starter,
45,"Rivera, Walker and Cain",2025-04-14,Paid Ads,North America,51-200,Starter,
46,Shaffer Group,2026-05-18,Referral,Africa,500+,Starter,2026-07-01
47,Gonzalez Group,2025-10-14,Outbound Sales,Latin America,500+,Starter,
48,Mayo LLC,2024-11-09,Content Marketing,Europe,500+,Growth,
49,Schwartz LLC,2025-02-20,Content Marketing,North America,11-50,Starter,
50,"Travis, Friedman and Diaz",2025-01-29,Content Marketing,North America,51-200,Growth,
51,Harrison LLC,2024-07-13,Organic Search,Latin America,1-10,Starter,2024-11-20
52,"Galloway, Bishop and Smith",2024-06-29,Content Marketing,North America,1-10,Starter,
53,Marsh-Miller,2026-03-12,Content Marketing,Europe,51-200,Starter,
54,Casey-Christensen,2025-08-05,Paid Ads,Latin America,51-200,Scale,
55,Hamilton Ltd,2025-02-25,Outbound Sales,Europe,201-500,Starter,
56,"Foster, Morales and Arroyo",2024-10-20,Paid Ads,Asia Pacific,1-10,Starter,2025-03-24
57,Kaiser Inc,2025-10-01,Paid Ads,Africa,11-50,Starter,2026-02-27
58,Drake-Thomas,2024-05-13,Organic Search,Asia Pacific,201-500,Starter,
59,Sandoval-Bell,2025-12-29,Partner,Asia Pacific,500+,Starter,
60,Smith Ltd,2025-04-28,Organic Search,Africa,1-10,Starter,
61,"Brady, Taylor and Downs",2025-07-27,Outbound Sales,Africa,500+,Growth,
62,Johnson and Sons,2024-06-20,Paid Ads,North America,1-10,Starter,2025-01-21
63,Gallagher LLC,2024-09-15,Paid Ads,Asia Pacific,51-200,Starter,
64,Flowers-Brown,2024-08-16,Outbound Sales,Africa,1-10,Starter,
65,Bates-Briggs,2025-10-14,Organic Search,Africa,1-10,Growth,
66,"Anderson, Hernandez and Dixon",2025-03-31,Paid Ads,North America,51-200,Scale,
67,Franklin and Sons,2026-02-08,Content Marketing,Asia Pacific,51-200,Growth,2026-06-08
68,Harvey-Martinez,2024-06-01,Organic Search,Europe,51-200,Starter,2025-05-16
69,"Holmes, Peters and Mueller",2024-02-24,Content Marketing,Europe,51-200,Starter,
70,"Brown, Lee and Williams",2024-04-03,Organic Search,Africa,1-10,Starter,
71,Fuentes PLC,2026-08-05,Content Marketing,Europe,500+,Starter,
72,"Brady, Taylor and Downs",2026-06-17,Outbound Sales,Africa,500+,Growth,
73,Drake-Thomas,2025-01-22,Organic Search,Asia Pacific,201-500,Starter,
