customer_id,company_name,signup_date,acquisition_channel,region,company_size_band,plan_type_at_signup,churn_date
27,Hernandez and Sons,01/12/2024,Content Marketing,Africa,201-500,Starter,
28,"Hall, Washington and Lawrence",13/05/2024,Outbound Sales,Asia Pacific,201-500,Starter,28/05/2025
29,Thomas PLC,19/08/2024,Outbound Sales,Europe,500+,Starter,
30,"Flores, Martinez and Villarreal",21/11/2024,Paid Ads,Latin America,01-Oct,Growth,24/03/2025
31,"Lowe, Brown and Lam",18/04/2026,Referral,Latin America,51-200,Scale,
32,"Yates, Long and Ross",18/11/2025,Content Marketing,Latin America,51-200,Growth,
33,"Morales, Lee and Rollins",01/04/2024,Paid Ads,Europe,201-500,Growth,13/10/2025
34,Peterson Inc,23/01/2025,Partner,North America,01-Oct,Growth,
35,"Hernandez, Garcia and Cox",31/03/2024,Content Marketing,Africa,201-500,Growth,
36,Mendez and Sons,23/01/2024,Referral,North America,Nov-50,Starter,
37,Guzman-Wells,13/07/2025,Outbound Sales,Latin America,500+,Growth,
38,Kaiser-Owens,11/04/2024,Partner,North America,01-Oct,Scale,
39,Thomas Ltd,02/03/2025,Outbound Sales,Europe,201-500,Growth,16/05/2026
40,Mendoza-Holt,29/10/2024,Partner,Asia Pacific,201-500,Starter,
41,Tapia PLC,31/03/2025,Paid Ads,Europe,01-Oct,Starter,
42,"Daniels, Johnson and Rice",15/11/2024,Paid Ads,Latin America,500+,Scale,
43,Horton LLC,13/05/2026,Content Marketing,Latin America,Nov-50,Starter,
44,Kelly and Sons,02/04/2025,Organic Search,Latin America,Nov-50,Starter,
45,"Rivera, Walker and Cain",14/04/2025,Paid Ads,North America,51-200,Starter,
46,Shaffer Group,18/05/2026,Referral,Africa,500+,Starter,01/07/2026
47,Gonzalez Group,14/10/2025,Outbound Sales,Latin America,500+,Starter,
48,Mayo LLC,09/11/2024,Content Marketing,Europe,500+,Growth,
49,Schwartz LLC,20/02/2025,Content Marketing,North America,Nov-50,Starter,
50,"Travis, Friedman and Diaz",29/01/2025,Content Marketing,North America,51-200,Growth,
51,Harrison LLC,13/07/2024,Organic Search,Latin America,01-Oct,Starter,20/11/2024
52,"Galloway, Bishop and Smith",29/06/2024,Content Marketing,North America,01-Oct,Starter,
53,Marsh-Miller,12/03/2026,Content Marketing,Europe,51-200,Starter,
54,Casey-Christensen,05/08/2025,Paid Ads,Latin America,51-200,Scale,
55,Hamilton Ltd,25/02/2025,Outbound Sales,Europe,201-500,Starter,
56,"Foster, Morales and Arroyo",20/10/2024,Paid Ads,Asia Pacific,01-Oct,Starter,24/03/2025
57,Kaiser Inc,01/10/2025,Paid Ads,Africa,Nov-50,Starter,27/02/2026
58,Drake-Thomas,13/05/2024,Organic Search,Asia Pacific,201-500,Starter,
59,Sandoval-Bell,29/12/2025,Partner,Asia Pacific,500+,Starter,
60,Smith Ltd,28/04/2025,Organic Search,Africa,01-Oct,Starter,
61,"Brady, Taylor and Downs",27/07/2025,Outbound Sales,Africa,500+,Growth,
62,Johnson and Sons,20/06/2024,Paid Ads,North America,01-Oct,Starter,21/01/2025
63,Gallagher LLC,15/09/2024,Paid Ads,Asia Pacific,51-200,Starter,
64,Flowers-Brown,16/08/2024,Outbound Sales,Africa,01-Oct,Starter,
65,Bates-Briggs,14/10/2025,Organic Search,Africa,01-Oct,Growth,
66,"Anderson, Hernandez and Dixon",31/03/2025,Paid Ads,North America,51-200,Scale,
67,Franklin and Sons,08/02/2026,Content Marketing,Asia Pacific,51-200,Growth,08/06/2026
68,Harvey-Martinez,01/06/2024,Organic Search,Europe,51-200,Starter,16/05/2025
69,"Holmes, Peters and Mueller",24/02/2024,Content Marketing,Europe,51-200,Starter,
70,"Brown, Lee and Williams",03/04/2024,Organic Search,Africa,01-Oct,Starter,
71,Fuentes PLC,05/08/2026,Content Marketing,Europe,500+,Starter,
72,"Brady, Taylor and Downs",17/06/2026,Outbound Sales,Africa,500+,Growth,
73,Drake-Thomas,22/01/2025,Organic Search,Asia Pacific,201-500,Starter,
